% Model:              all_models_pine_case_sol1.mph
% Version:            COMSOL 4.3.2.164
% Date:               Sep 24 2015, 14:22
% Table:              20000tempsPine - 
% Time                   Tvol (K)                 Tst (K), Point: 6        Tc (K), Point: 9         Tl (K), Point: 10        Tw (K), Point: 11        Tsa (K)
4.4                      631.9808781722911        720.9250938342647        541.0542086564068        732.0433117454204        678.7823678684058        704.2806237536903
4.5                      634.8365916488026        722.2437016847472        545.0858508114501        733.1188255207999        680.4725451460878        705.7705130915941
4.6                      637.6261398604645        723.5247816096294        549.0410152041036        734.1609421295788        682.1290132937976        707.2228126635001
4.7                      640.3603578038052        724.776867420137         552.9284138098191        735.1786266937639        683.7566840201823        708.6448752606141
4.800000000000001        643.0200930632153        725.9848743768138        556.7326469582312        736.1560320700235        685.3468751733561        710.0237037663373
4.9                      645.605345638561         727.1488024796595        560.4537146493399        737.0931582583571        686.899586753319         711.3592981806647
5                        648.1161155298657        728.2686517286742        564.0916168831454        737.9900052587654        688.414818760071         712.6516585035996
5                        648.1161155298657        728.2686517286742        564.0916168831454        737.9900052587654        688.414818760071         712.6516585035996
6                        670.1847357572526        737.8116647144493        596.8219623165139        745.5227232030012        701.9766287011261        723.8812193586484
7                        687.8641423032226        745.0728267408936        624.0408211614291        751.135395356435         713.1635896640375        732.7160001244873
8                        702.1521602395079        750.6645394508896        646.7779704787806        755.3917193839125        722.4460645329349        739.7456481214717
9                        713.7408573277238        754.9883525781939        665.789608371774         758.6470483155513        730.1638613065832        745.3679426496878
10                       723.2336865892843        758.3809281112559        681.7648797889157        761.1911747361235        736.6213609982693        749.9223143749623
11                       731.069273184901         761.0728784142468        695.2378559981686        763.2136648325298        742.0494899318205        753.6479400302226
12                       737.5779959373837        763.2287065097458        706.6353214281469        764.8441356054888        746.6293402670672        756.7200983938227
13                       743.0783013777966        764.9967987759325        716.399170177302         766.1940982599489        750.5449992266185        759.3026767416749
14                       747.7647949500206        766.4644603559329        724.8099593914321        767.3275462423647        753.9122617390587        761.4942103252008
15                       751.7096785644595        767.6612101868114        731.9807876363396        768.264851960712         756.7779906439771        763.3301678162209
16                       755.0414086595258        768.6419520597229        738.10542154573          769.0450927204511        759.2224643129997        764.8745955152174
17                       757.7996035385067        769.4221206238217        743.2480513265516        769.6791244166293        761.271499895291         766.1466219873706
18                       760.1704471375583        770.078739743648         747.6970669780547        770.2215473512798        763.0432546127523        767.2380115876599
19                       762.1229731790859        770.5975306259952        751.408740300765         770.6620554163942        764.519455965338         768.1329687118096
20                       763.8153512891237        771.0399862687037        754.6394436496696        771.0437448805347        765.8041861019564        768.9080186500204
21                       765.2056885262092        771.3890504420523        757.3233538902465        771.354662562021         766.8705446983771        769.542648652661
22                       766.4182179409229        771.6896251816509        759.6710229439801        771.6262788935237        767.803228068295         770.0958863242923
23                       767.4182603493683        771.9285890380052        761.6250982882874        771.8495059459689        768.579080202634         770.551110132445
24                       768.3434053095583        772.1507896108511        763.4305927316456        772.0566779050192        769.2959490682607        770.9724949998891
25                       769.1403553361648        772.3388544751064        764.992596698413         772.2352696138917        769.9159317119769        771.3351817581166
26                       769.8091104291611        772.492783630771         766.3111101885896        772.3852810725865        770.4390281337824        771.6391704071402
27                       770.3496705886859        772.6125770778448        767.3861332021754        772.5067122811037        770.865238333677         771.8844609469721
28                       770.8603796649369        772.726783230742         768.3999517810371        772.6215150847507        771.2673841933175        772.1163451850498
29                       771.2856826015746        772.8192749115469        769.2495913996526        772.7172887487723        771.6043281761463        772.3092374959768
30                       771.6224950966664        772.8891567726496        769.9293351250408        772.7933448099856        771.873786411096         772.4617174186872
