% Model:              gavins_cube.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jan 29 2016, 09:11
% Table:              Table 1 - Volume Average 1 (T)
% Time (s)               volume average (K)       center (K), Point: 5     corner (K), Point: 2     surface average (K)
7.65                     773.0009033596991        773.0013850045005        773.0003185926673        773.000638261303
7.7                      773.0008571871379        773.0013142075003        773.000302310718         773.0006056397783
7.75                     773.0008110145737        773.0012434104999        773.0002860287685        773.0005730182547
7.800000000000001        773.0007648420099        773.0011726134996        773.0002697468191        773.0005403967285
7.8500000000000005       773.0007186694452        773.0011018164993        773.0002534648697        773.0005077752054
7.9                      773.0006724968823        773.001031019499         773.0002371829203        773.000475153678
7.95                     773.0006263243173        773.0009602224987        773.0002209009709        773.0004425321547
8                        773.0005801517538        773.0008894254984        773.0002046190214        773.0004099106304
8.05                     773.0005339791901        773.000818628498         773.0001883370719        773.0003772891052
8.1                      773.0004878066273        773.0007478314976        773.0001720551226        773.0003446675784
8.15                     773.0004416340629        773.0006770344974        773.0001557731731        773.000312046054
8.200000000000001        773.0003954614971        773.000606237497         773.0001394912236        773.0002794245287
8.25                     773.0003492889336        773.0005354404967        773.0001232092743        773.0002468030041
8.3                      773.0003031163709        773.0004646434965        773.0001069273249        773.0002141814795
8.35                     773.0002709054825        773.0004152562146        773.0000955680877        773.0001914236418
8.4                      773.0002581531302        773.0003957078878        773.0000910696873        773.000182412934
8.450000000000001        773.0002454007763        773.000376159561         773.000086571287         773.0001734022259
8.5                      773.0002326484266        773.0003566112342        773.0000820728868        773.0001643915142
8.55                     773.0002198960738        773.0003370629074        773.0000775744866        773.0001553808052
8.6                      773.0002071437232        773.0003175145805        773.0000730760862        773.0001463700972
8.65                     773.0001943913716        773.0002979662538        773.0000685776861        773.0001373593874
8.700000000000001        773.0001816390221        773.000278417927         773.0000640792857        773.0001283486777
8.75                     773.0001688866673        773.0002588696002        773.0000595808855        773.0001193379692
8.8                      773.0001561343166        773.0002393212733        773.0000550824852        773.0001103272605
8.85                     773.0001433819662        773.0002197729466        773.000050584085         773.0001013165523
8.9                      773.0001306296127        773.0002002246198        773.0000460856846        773.0000923058415
8.950000000000001        773.000117877261         773.0001806762929        773.0000415872845        773.0000832951307
9                        773.0001051249094        773.0001611279661        773.0000370888841        773.0000742844239
9.05                     773.0000923725579        773.0001415796394        773.000032590484         773.0000652737158
9.1                      773.0000796202067        773.0001220313125        773.0000280920838        773.0000562630054
9.15                     773.000066867856         773.0001024829857        773.0000235936834        773.000047252295
9.200000000000001        773.0000541155053        773.0000829346588        773.0000190952833        773.0000382415869
9.25                     773.0000413631518        773.0000633863319        773.0000145968829        773.0000292308789
9.3                      773.0000286107995        773.0000438380052        773.0000100984827        773.0000202201705
9.35                     773.0000203924856        773.000031240369         773.0000071993547        773.000014413101
9.4                      773.0000184933085        773.0000283299847        773.0000065291498        773.0000130709774
9.450000000000001        773.0000165941344        773.0000254196005        773.0000058589449        773.0000117288553
9.5                      773.000014694958         773.0000225092164        773.0000051887398        773.0000103867336
9.55                     773.000012795783         773.0000195988321        773.000004518535         773.0000090446118
9.600000000000001        773.0000108966042        773.000016688448         773.00000384833          773.0000077024908
9.65                     773.0000089974316        773.0000137780638        773.0000031781251        773.0000063603665
9.700000000000001        773.0000070982553        773.0000108676795        773.0000025079202        773.0000050182454
9.75                     773.0000051990796        773.0000079572953        773.0000018377152        773.0000036761237
9.8                      773.0000032999053        773.0000050469113        773.0000011675104        773.0000023340014
9.850000000000001        773.0000014007267        773.0000021365271        773.0000004973055        773.0000009918779
9.9                      772.9999995015538        772.9999992261428        772.9999998271004        772.9999996497568
9.950000000000001        772.9999976023756        772.9999963157586        772.9999991568955        772.9999983076341
10                       772.9999957032005        772.9999934053744        772.9999984866905        772.9999969655119
